user_id,variant,retention_7d,activation,sessions,error_rate,latency_ms
user_0,control,1,1,5,0.08959951724604785,1663
user_1,treatment,0,0,6,0.08413239684155685,446
user_2,control,1,1,2,0.05726938251119812,1385
user_3,control,1,1,5,0.030179749504273545,743
user_4,control,1,1,4,0.029634678897982603,1596
user_5,treatment,1,0,7,0.011493741443335537,814
user_6,control,1,0,5,0.04662348000428431,349
user_7,control,1,0,4,0.008174101613373843,935
user_8,control,0,0,3,0.10198593947194659,1791
user_9,treatment,1,1,7,0.08705533060578606,719
user_10,control,0,0,8,0.051435960217220356,575
user_11,control,0,0,3,0.05378885760418349,643
user_12,control,1,0,5,0.061627756059697524,1791
user_13,control,1,0,3,0.00908041129497939,912
user_14,treatment,1,0,1,0.043301423674644776,687
user_15,control,0,0,8,0.000748994246977654,1276
user_16,treatment,1,0,4,0.015631785203592652,831
user_17,treatment,0,1,4,0.012078871984259212,152
user_18,treatment,1,1,7,0.00927428824700485,328
user_19,control,0,1,6,0.029119329288136223,1300
user_20,treatment,1,1,5,0.05189823833033353,598
user_21,control,1,0,2,0.012996167593442362,1273
user_22,treatment,0,1,6,0.03944957198703731,811
user_23,treatment,1,1,6,0.0007441248728590041,1236
user_24,treatment,0,0,3,0.006835531025179186,222
user_25,treatment,0,1,6,0.01796798050958332,177
user_26,treatment,1,0,8,0.019568803825335792,2031
user_27,treatment,1,0,5,0.0035922087872575763,929
user_28,treatment,1,1,6,0.001639067887016047,534
user_29,treatment,0,0,4,5.902754417834339e-05,278
user_30,control,0,0,9,0.0495548708270705,989
user_31,control,0,1,3,0.035901845856308526,340
user_32,treatment,1,0,12,0.017505054391082537,1386
user_33,treatment,0,0,5,0.07867525171495045,1116
user_34,treatment,0,0,5,0.10934514834784634,1690
user_35,control,0,0,9,0.0531278568203537,484
user_36,treatment,1,1,4,0.010654063867467324,457
user_37,control,0,1,6,0.01825918873210216,153
user_38,control,1,0,6,0.03030815890859368,474
user_39,control,0,1,3,0.1485188039398694,669
user_40,control,1,0,2,0.04571856014642073,2272
user_41,control,1,1,6,0.03463638192691551,1839
user_42,treatment,0,0,7,0.0004668650916972237,715
user_43,treatment,1,0,2,0.028992159637843573,1895
user_44,treatment,1,0,3,0.013468518454182253,387
user_45,treatment,0,0,8,0.03561852206276832,1485
user_46,treatment,1,1,8,0.014830641586429492,2408
user_47,control,1,0,3,0.020922025550020176,835
user_48,treatment,1,1,4,0.0030001522296490397,313
user_49,treatment,0,0,5,0.01787666361492528,1189
user_50,control,1,0,5,0.05412441941046124,842
user_51,treatment,0,1,5,0.056474201259836106,630
user_52,control,1,1,3,0.009728477303471733,1138
user_53,treatment,1,0,3,0.009866831424183643,2917
user_54,control,1,1,7,0.04860065720785579,420
user_55,treatment,1,0,4,0.06834436056687586,413
user_56,treatment,0,0,2,0.07176550633644062,1028
user_57,control,1,0,4,0.02588297732656915,1599
user_58,control,0,0,5,0.022302793410834455,277
user_59,control,0,0,3,0.01291977462898353,3072
user_60,control,1,0,7,0.04017694993472059,1369
user_61,control,1,1,8,0.07241481962660969,479
user_62,control,0,0,3,0.04505080015046001,590
user_63,control,0,1,5,0.051622905537474145,225
user_64,control,1,1,4,0.02594518030218228,176
user_65,treatment,1,1,8,0.003913512541881005,1242
user_66,treatment,1,0,2,0.01885476767558678,2055
user_67,control,0,0,6,0.04500086708287233,1706
user_68,treatment,0,0,8,0.18024386709972212,1483
user_69,treatment,1,1,8,0.006047457856416413,2364
user_70,treatment,1,1,2,0.048328076746572454,1454
user_71,treatment,0,0,4,0.07599921387735244,2224
user_72,control,0,0,5,0.09499238643699852,977
user_73,treatment,0,1,6,0.01722320361024296,1006
user_74,control,0,0,3,0.005704980013203316,686
user_75,treatment,0,0,4,0.007542218957240697,235
user_76,treatment,1,1,4,0.026393528098814543,125
user_77,treatment,0,0,4,0.022938973792134876,505
user_78,control,0,1,10,0.033428304239435803,2488
user_79,treatment,1,1,5,0.11664412556933335,247
user_80,control,1,0,5,0.018751040228911497,531
user_81,treatment,0,1,5,0.033343178453742385,1126
user_82,control,0,0,3,0.08458826628884199,1904
